Название товара;Крит. Ур.;Предкрит.ур.
Ранитидин;1;2
Фамотидин;1;2
Омепразол;1;2
Дротаверин;1;2
Бисакодил;1;2
Лоперамид;1;3
Бифидобактерии бифидум;1;3
Панкреатин;1;3
Аскорбиновая кислота;1;3
Атенолол;1;3
Верапамил;1;2
Каптоприл;1;3
Эналаприл;1;2
Лозартан;1;3
Амоксициллин;1;3
Ципрофлоксацин;1;2
Ацикловир;1;2
Осельтамивир;1;2
Кагоцел;1;2
Диклофенак;1;3
Ибупрофен;1;2
Парацетамол;1;2
Сальбутамол;1;3
Беклометазон;1;3
Аминофиллин;1;2
Хлоропирамин;1;2
Лоратадин;1;3
Тетрациклин;1;3
Пилокарпин;1;3
Тимолол;1;2
